label,Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.5,0.29,16.71,3.11,0.06,0.88,3.82,4.65,1.79,0.12,26.7,695.0,5.1,70.3,1.5,838.0,10.0,19.3,2.16,8.6,1.7,0.55,1.34,0.18,0.97,0.2,0.51,0.09,0.61,0.09,2.2,0.1,1.4,0.7
0,Au-rich PCDs,Pulang Cu-Au,66.23,0.77,14.8,2.13,0.01,3.77,2.96,4.12,2.29,0.52,202.0,704.0,16.1,189.0,12.1,157.0,13.2,32.7,4.39,18.9,4.19,1.03,3.88,0.55,2.97,0.57,1.56,0.22,1.52,0.21,4.85,0.84,15.3,3.84
0,Au-rich PCDs,Pulang Cu-Au,66.0,0.5,15.9,3.5,0.05,2.3,4.0,3.9,3.6,0.2,110.0,1213.0,14.0,171.0,8.4,1532.0,25.5,49.0,5.41,20.6,3.79,1.03,2.93,0.41,2.24,0.42,1.29,0.19,1.27,0.2,4.2,0.9,9.16,2.72
0,Au-rich PCDs,Almalyk Cu-Au,60.18,0.61,15.8,5.69,0.1,2.74,4.13,3.69,4.0,0.25,108.0,508.0,20.2,183.0,11.7,1514.0,39.31,70.71,8.33,31.76,5.56,1.24,4.87,0.7,3.89,0.77,2.1,0.33,2.11,0.33,5.41,0.87,21.7,7.15
0,Au-rich PCDs,Cobre Panama Cu-Mo-Au,64.47,0.4,15.84,5.47,0.14,1.93,3.25,4.13,1.21,0.17,37.1,463.8,10.7,106.0,4.1,563.0,8.3,14.1,1.9,6.9,1.7,0.55,1.93,0.34,1.78,0.39,1.16,0.17,1.36,0.19,2.8,0.3,3.4,1.0
1,Cu-rich PCDs,El Abra Cu-Mo,69.73,0.33,16.25,2.26,0.03,0.97,2.63,4.39,3.29,0.14,59.0,630.0,6.2,112.0,6.4,889.0,21.5,40.3,4.2,15.5,2.76,0.683,1.74,0.24,1.12,0.22,0.61,0.097,0.66,0.11,3.0,0.62,6.09,2.11
1,Cu-rich PCDs,Erdenet Cu-Mo,61.96,0.92,15.4,5.7,0.08,1.88,3.78,4.67,3.13,0.26,77.4,312.0,21.8,327.0,7.88,632.0,22.6,46.9,6.4,25.9,5.17,1.1,5.13,0.72,4.25,0.84,2.36,0.34,2.17,0.33,7.41,0.64,13.3,1.16
1,Cu-rich PCDs,Jebel Ohier Cu-Au,65.6,0.43,16.5,3.71,0.05,1.52,3.5,4.69,2.07,0.15,36.2,889.0,5.9,98.0,1.0,646.0,10.3,20.0,2.58,10.3,2.14,0.67,1.69,0.21,1.2,0.22,0.61,0.1,0.48,0.07,2.8,0.2,1.91,1.16
1,Cu-rich PCDs,Jebel Ohier Cu-Au,57.2,1.23,16.85,8.13,0.12,3.69,6.55,3.69,1.91,0.39,43.1,608.0,21.5,210.0,4.9,577.0,17.9,41.5,4.93,22.7,5.53,1.45,4.75,0.7,4.31,0.82,2.48,0.34,2.51,0.34,5.3,0.3,3.38,1.42
1,Cu-rich PCDs,Baogutu Cu-Mo,59.92,0.83,18.07,2.0,0.03,4.81,7.85,4.75,0.37,0.1,13.28,748.0,17.44,93.26,2.69,221.0,5.6,16.81,2.66,13.84,3.45,1.14,3.53,0.55,3.16,0.62,1.72,0.27,1.59,0.23,2.71,0.14,1.58,0.4
1,Cu-rich PCDs,Baogutu Cu-Mo,63.72,0.55,16.16,4.23,0.05,2.93,4.78,4.61,1.78,0.14,20.32,747.4,7.98,88.16,2.08,608.3,11.0,20.95,2.71,10.97,2.07,0.73,1.81,0.26,1.49,0.28,0.76,0.11,0.7,0.11,2.61,0.15,2.6,0.73
1,Cu-rich PCDs,Baogutu Cu-Mo,54.87,0.81,17.88,7.36,0.06,4.35,5.61,4.87,1.34,0.15,44.04,840.0,10.3,46.34,0.77,353.0,4.66,11.26,1.62,8.42,1.96,0.82,2.01,0.33,1.93,0.38,1.05,0.17,1.03,0.16,1e-10,0.17,0.48,0.48
0,Au-rich PCDs,Cobre Panama Cu-Mo-Au,65.07,0.41,15.98,5.57,0.24,1.52,3.61,3.59,1.64,0.16,40.0,561.6,12.3,99.1,6.3,923.0,14.8,26.4,2.99,11.7,2.08,0.73,2.03,0.33,2.04,0.45,1.32,0.21,1.56,0.23,2.5,0.3,2.1,0.7
1,Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,62.29,0.24,16.96,2.23,0.04,0.4,2.07,5.35,4.97,0.27,102.0,393.0,14.22,100.2,5.52,298.0,19.28,33.99,3.67,14.31,2.86,0.83,1.75,0.32,2.02,0.48,1.44,0.27,1.76,0.27,2.76,0.29,3.48,3.63
1,Cu-rich PCDs,Erdenet Cu-Mo,68.47,0.41,15.96,2.85,0.03,1.12,1.28,5.37,2.54,0.14,55.6,905.0,5.39,124.0,2.85,920.0,13.4,26.2,3.01,11.5,2.01,0.58,1.65,0.21,1.08,0.19,0.56,0.08,0.55,0.08,3.1,0.35,3.06,1.02
1,Cu-rich PCDs,Baogutu Cu-Mo,56.36,1.02,14.95,8.83,0.11,5.41,7.61,3.75,0.9,0.21,25.8,599.0,18.4,41.8,3.11,358.0,15.1,33.9,4.7,20.7,4.36,1.34,3.77,0.64,3.72,0.68,2.0,0.3,1.82,0.3,1.3,0.18,1.65,0.39
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.7,0.2,16.3,2.5,0.1,0.6,3.0,4.8,2.1,0.1,32.6,666.8,5.8,65.6,1.8,1035.0,10.7,19.7,2.1,8.0,1.3,0.5,1.1,0.1,0.9,0.2,0.5,0.1,0.6,0.1,2.1,0.1,2.3,0.9
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,63.56,0.36,15.58,4.8,0.1,1.52,5.69,4.88,1.52,0.14,20.6,553.0,9.8,92.0,4.6,198.0,12.8,25.8,3.27,12.6,2.62,0.79,2.2,0.32,1.79,0.42,1.05,0.15,1.08,0.19,2.5,0.38,2.89,1.25
0,Au-rich PCDs,Atlas Cu-Au,59.67,0.47,17.0,6.08,0.08,3.08,5.21,4.01,1.59,0.18,20.4,960.0,14.2,90.0,3.3,396.0,15.1,30.9,3.79,14.7,3.09,0.97,2.76,0.4,2.33,0.51,1.43,0.22,1.59,0.26,2.5,0.2,3.55,0.6
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,66.32,0.2,17.87,1.64,0.04,0.96,1.92,3.87,3.59,0.06,38.07,344.84,5.69,102.09,3.64,374.28,5.7,10.42,1.39,5.16,1.13,0.35,1.0,0.16,0.96,0.21,0.59,0.1,0.68,0.11,2.7,0.14,1.13,0.65
1,Cu-rich PCDs,Luoboling Cu-Mo,69.59,0.43,15.08,3.31,0.04,1.36,3.44,2.96,3.6,0.2,102.0,491.0,15.5,148.0,15.1,496.0,22.1,46.2,5.6,21.8,3.88,1.14,3.12,0.44,2.6,0.52,1.58,0.25,1.61,0.27,4.2,1.8,14.45,7.6
0,Au-rich PCDs,Pulang Cu-Au,60.0,0.7,14.4,7.2,0.08,3.8,5.2,2.8,4.0,0.4,127.0,856.0,17.0,171.0,10.3,2194.0,39.3,73.8,8.07,31.1,6.03,1.83,5.11,0.67,3.42,0.63,1.76,0.24,1.5,0.23,4.0,0.99,12.4,3.3
1,Cu-rich PCDs,Xiaokelehe Cu-Mo,64.66,0.58,16.64,3.96,0.11,1.22,3.16,5.14,2.96,0.23,60.3,1075.0,5.9,180.0,5.4,951.0,28.0,55.3,6.15,23.3,3.74,0.95,2.33,0.26,1.29,0.22,0.59,0.07,0.46,0.06,4.4,0.29,3.8,1.72
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.4,0.3,16.1,3.1,0.1,0.9,3.5,4.7,1.8,0.1,30.8,618.4,6.2,55.9,1.9,836.0,10.7,18.9,2.3,9.4,1.7,0.6,1.4,0.2,0.9,0.2,0.6,0.1,0.7,0.1,1.8,0.1,1.3,0.8
