label,Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
1,Cu-rich PCDs,Borly Cu-Mo,68.26,0.5,16.72,3.08,0.02,1.41,0.3,2.59,4.31,0.04,254.5,264.9,24.76,158.9,8.66,706.2,18.94,38.2,4.73,18.05,3.74,0.95,3.76,0.64,4.17,0.89,2.55,0.38,2.48,0.37,4.92,1.01,22.21,7.53
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,69.93,0.2,15.43,1.36,0.05,0.59,2.63,3.46,3.62,0.06,37.4,260.62,4.73,90.69,3.41,471.56,8.01,14.47,1.94,7.64,1.41,0.42,1.11,0.16,0.94,0.19,0.52,0.08,0.54,0.09,2.43,0.16,0.95,0.74
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.28,0.34,16.84,3.55,0.06,1.07,4.27,4.83,1.62,0.13,24.6,721.8,6.1,68.8,1.5,815.0,9.4,18.8,2.36,9.9,1.72,0.52,1.53,0.21,1.25,0.22,0.65,0.09,0.69,0.09,2.0,0.1,1.3,0.7
1,Cu-rich PCDs,Aktogai Cu,66.21,0.54,16.67,3.79,0.03,1.63,2.19,4.35,2.79,0.23,66.25,896.6,11.3,114.0,3.66,837.7,19.52,38.01,5.13,19.05,3.65,0.95,2.8,0.39,2.09,0.4,1.06,0.16,1.0,0.15,3.35,0.23,5.23,2.44
1,Cu-rich PCDs,Wunugetushan Cu-Mo,68.83,0.22,15.19,2.13,0.05,0.44,2.28,3.87,3.32,0.08,81.8,369.0,4.07,116.7,4.81,498.8,11.12,24.6,2.95,11.07,1.83,0.52,1.32,0.17,0.9,0.16,0.48,0.07,0.47,0.08,3.08,0.31,1.79,0.86
1,Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,63.57,0.24,18.28,1.01,0.03,0.44,1.48,5.29,6.1,0.15,117.0,651.0,12.22,112.7,7.18,1162.0,13.97,24.77,2.8,10.99,2.37,0.76,1.4,0.27,1.77,0.43,1.31,0.25,1.7,0.27,3.31,0.49,4.75,2.16
0,Au-rich PCDs,Oyu Tolgoi Cu-Au,64.38,0.35,17.36,3.74,0.04,0.82,1.6,5.61,3.78,0.12,70.0,661.0,13.0,105.0,4.9,959.0,13.9,25.2,2.84,11.4,2.32,0.77,2.21,0.35,2.07,0.43,1.32,0.22,1.59,0.28,2.4,0.3,2.38,1.54
1,Cu-rich PCDs,Xiaokelehe Cu-Mo,64.51,0.68,16.33,4.19,0.09,1.72,3.55,4.89,3.01,0.26,53.6,1110.0,8.0,188.0,6.4,909.0,32.2,62.6,7.15,27.2,4.5,1.12,2.82,0.34,1.74,0.3,0.73,0.1,0.63,0.1,4.7,0.4,4.61,1.42
1,Cu-rich PCDs,Wunugetushan Cu-Mo,69.72,0.23,15.31,2.03,0.04,0.37,1.77,4.06,4.02,0.09,107.8,361.5,5.56,128.0,5.36,753.7,14.68,28.22,3.2,11.48,1.76,0.56,1.39,0.18,0.94,0.19,0.52,0.08,0.54,0.09,3.43,0.34,3.06,0.97
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.2,0.4,17.0,3.7,0.1,1.2,4.4,4.8,1.7,0.1,33.4,790.4,6.6,64.6,1.5,787.0,9.8,19.5,2.3,9.5,1.8,0.6,1.4,0.2,1.1,0.2,0.6,0.1,0.6,0.1,1.8,0.1,2.2,0.9
1,Cu-rich PCDs,Baogutu Cu-Mo,55.53,1.08,14.53,8.83,0.11,6.59,6.45,3.77,1.02,0.18,36.1,554.0,18.8,38.3,3.37,332.0,12.6,29.4,3.93,17.8,3.87,1.2,3.53,0.65,3.64,0.71,1.89,0.3,1.84,0.28,1.2,0.22,2.05,0.58
0,Au-rich PCDs,Altar region Cu-Au,63.82,0.58,16.74,3.79,0.6,1.35,1.5,5.0,2.72,0.18,44.9,522.1,5.0,104.9,4.5,797.0,11.9,26.8,3.41,13.7,2.42,0.72,1.63,0.2,1.07,0.16,0.5,0.07,0.51,0.08,3.0,0.4,3.1,1.2
1,Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,64.35,0.22,16.3,1.8,0.05,0.29,2.09,4.18,5.93,0.19,131.0,429.0,13.57,86.29,5.06,798.0,14.22,27.85,3.05,11.7,2.37,0.72,1.47,0.28,1.84,0.45,1.38,0.26,1.73,0.26,2.42,0.24,2.27,6.03
1,Cu-rich PCDs,Erdenet Cu-Mo,67.41,0.48,14.87,2.92,0.04,1.17,2.58,4.35,3.44,0.11,55.8,834.0,12.5,160.0,6.03,957.0,20.7,39.6,4.63,17.9,3.21,0.81,2.59,0.43,2.31,0.44,1.26,0.22,1.38,0.22,5.97,0.58,9.42,2.76
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.0,0.3,15.9,2.7,0.1,0.8,3.2,4.6,2.3,0.1,41.0,600.0,7.2,77.4,2.3,1130.0,11.6,21.6,2.6,10.5,2.0,0.5,1.6,0.2,1.3,0.2,0.6,0.1,0.7,0.1,2.4,0.1,1.9,0.7
0,Au-rich PCDs,Almalyk Cu-Au,57.16,0.5,15.14,9.18,0.07,3.0,1.29,0.39,8.32,0.41,193.24,205.8,19.54,60.99,8.19,1001.53,14.12,34.04,4.85,19.89,4.86,1.11,4.54,0.63,3.5,0.71,1.8,0.24,1.69,0.25,2.43,0.4,5.25,3.9
1,Cu-rich PCDs,Tuwu-Yandong Cu,67.45,0.23,14.22,2.57,0.07,1.14,4.34,4.97,1.22,0.1,23.5,586.0,9.45,46.3,2.26,271.0,13.7,27.6,2.88,11.7,2.38,0.89,1.82,0.3,1.49,0.28,0.86,0.14,1.06,0.14,1.3,0.22,1.53,0.39
1,Cu-rich PCDs,Erdenet Cu-Mo,61.01,0.82,17.28,5.23,0.08,2.59,4.45,4.94,2.73,0.22,43.6,826.0,16.5,349.0,5.26,761.0,21.6,37.6,5.4,21.3,4.13,0.98,4.08,0.55,3.19,0.63,1.75,0.24,1.62,0.24,7.5,0.41,5.29,1.54
1,Cu-rich PCDs,Aktogai Cu,66.74,0.53,16.15,2.04,0.03,1.86,1.42,3.95,4.16,0.21,58.3,453.0,5.77,31.4,2.3,640.0,10.1,19.0,2.35,9.43,1.73,0.54,1.21,0.18,0.96,0.17,0.54,0.09,0.64,0.1,1.36,0.14,5.69,0.51
0,Au-rich PCDs,Pulang Cu-Au,68.4,0.51,12.4,4.37,0.01,1.92,1.02,2.26,5.65,0.32,123.0,834.0,17.8,141.0,12.3,1970.0,34.8,73.4,8.01,30.0,5.87,1.55,5.03,0.72,3.34,0.65,1.75,0.25,1.49,0.23,3.56,0.81,13.1,2.68
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.5,0.2,16.0,2.5,0.1,0.7,3.3,4.7,2.2,0.1,30.6,609.9,5.1,64.6,2.0,1030.0,9.3,18.9,2.2,9.3,1.8,0.5,1.3,0.2,1.1,0.2,0.7,0.1,0.7,0.1,2.9,0.1,2.0,1.1
1,Cu-rich PCDs,Baogutu Cu-Mo,61.63,0.89,15.21,6.36,0.04,4.17,3.99,3.6,2.14,0.19,130.0,429.0,12.0,62.5,3.59,343.0,18.5,36.0,4.17,16.3,2.79,0.9,2.38,0.38,2.13,0.41,1.15,0.18,1.07,0.18,1.96,0.25,2.9,1.32
1,Cu-rich PCDs,Luoboling Cu-Mo,64.37,0.52,16.46,2.38,0.05,2.19,4.09,1.85,7.79,0.29,192.0,375.0,16.1,124.0,10.8,797.0,25.8,51.9,5.6,21.5,3.85,1.23,3.37,0.45,2.66,0.55,1.59,0.25,1.48,0.25,3.4,1.1,11.25,3.58
1,Cu-rich PCDs,Wunugetushan Cu-Mo,68.98,0.21,14.66,1.02,0.04,0.45,2.85,3.16,4.22,0.08,108.0,380.0,5.7,110.0,3.9,709.0,14.4,28.0,2.89,10.6,1.74,0.51,1.36,0.2,1.02,0.19,0.54,0.08,0.52,0.08,3.2,0.3,3.16,1.13
0,Au-rich PCDs,Pulang Cu-Au,65.57,0.5,15.18,3.4,0.02,2.09,3.13,3.9,3.66,0.34,101.0,898.0,14.8,161.0,10.0,1026.0,33.1,62.7,6.92,25.5,4.45,1.32,3.49,0.48,2.66,0.5,1.38,0.19,1.32,0.2,4.44,0.74,15.1,4.32
0,Au-rich PCDs,Shaxi Cu-Au,56.06,0.6,17.42,7.56,0.03,2.71,3.94,5.62,2.25,0.35,78.8,937.0,13.2,39.9,5.1,600.0,24.5,50.5,6.26,24.0,4.87,1.59,3.82,0.5,2.52,0.47,1.16,0.17,1.03,0.16,1.1,0.24,3.8,1.4
0,Au-rich PCDs,Almalyk Cu-Au,69.65,0.17,10.51,9.1,0.04,0.89,0.45,0.77,6.67,0.14,139.0,139.0,9.6,101.0,1.79,647.0,5.24,10.93,1.59,7.03,1.68,0.44,1.6,0.26,1.61,0.33,0.9,0.13,0.87,0.13,2.92,0.21,10.8,2.16
0,Au-rich PCDs,Bozshakol Cu-Au,69.26,0.35,16.79,2.31,0.03,1.4,1.62,4.84,1.51,0.15,30.5,565.0,12.1,95.4,5.94,308.0,20.8,34.1,4.02,14.8,2.92,1.17,2.83,0.38,2.05,0.4,1.23,0.19,1.25,0.19,2.97,0.36,3.0,0.61
0,Au-rich PCDs,Kounrad Cu-Au,67.54,0.43,16.08,2.8,0.05,1.46,2.16,4.7,2.16,0.15,60.5,670.0,9.83,95.7,4.92,711.0,20.7,40.9,4.99,19.1,3.29,0.92,2.48,0.37,1.84,0.34,0.99,0.16,1.02,0.15,3.08,0.44,7.47,1.99
1,Cu-rich PCDs,El Abra Cu-Mo,69.86,0.29,16.07,2.19,0.03,0.72,3.1,4.5,3.07,0.13,71.0,643.0,5.3,103.0,5.9,846.0,18.7,34.5,3.63,13.5,2.38,0.646,1.6,0.21,1.05,0.2,0.6,0.095,0.63,0.11,2.8,0.66,6.68,2.82
0,Au-rich PCDs,Shaxi Cu-Au,56.87,0.59,17.61,8.1,0.04,2.53,4.18,5.18,2.26,0.36,65.0,977.0,11.7,42.4,4.7,740.0,16.2,35.9,4.51,18.4,3.88,1.45,3.4,0.45,2.45,0.48,1.26,0.17,1.03,0.17,1.1,0.24,2.9,1.1
0,Au-rich PCDs,Shaxi Cu-Au,56.5,0.58,17.65,6.73,0.05,2.43,5.17,4.74,2.16,0.34,38.8,948.0,8.4,33.2,4.4,680.0,12.6,27.5,3.42,14.2,2.93,1.09,2.85,0.39,2.06,0.39,1.05,0.14,0.91,0.14,1.0,0.25,2.5,0.8
1,Cu-rich PCDs,Baogutu Cu-Mo,57.35,0.98,16.37,7.93,0.09,3.85,6.43,3.69,1.49,0.26,25.86,592.0,15.4,97.11,2.12,492.0,11.69,27.44,3.68,16.93,3.46,0.96,3.26,0.48,2.81,0.53,1.57,0.22,1.41,0.21,2.82,0.13,1.96,0.47
1,Cu-rich PCDs,Baogutu Cu-Mo,59.98,0.88,17.76,2.69,0.03,4.41,7.52,4.46,0.67,0.21,36.42,707.0,15.48,84.73,2.69,240.0,8.8,28.1,4.03,19.22,4.31,1.27,3.78,0.55,3.09,0.59,1.74,0.24,1.56,0.23,2.51,0.15,1.94,0.55
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.6,0.2,15.6,2.6,0.1,0.7,3.2,4.8,2.3,0.1,39.7,611.9,5.3,59.0,2.2,952.0,10.6,20.0,2.0,7.7,1.3,0.4,1.1,0.1,0.9,0.2,0.5,0.1,0.6,0.1,2.3,0.2,2.5,0.9
0,Au-rich PCDs,Pulang Cu-Au,66.05,0.48,14.69,3.66,0.04,1.97,2.75,3.83,4.37,0.28,97.7,811.0,12.2,167.0,10.8,985.0,23.1,44.2,4.97,18.6,3.5,0.93,2.81,0.4,2.18,0.4,1.19,0.17,1.12,0.16,4.64,0.82,16.7,3.24
0,Au-rich PCDs,Cobre Panama Cu-Mo-Au,62.35,0.55,16.86,6.4,0.07,2.34,4.03,3.25,0.92,0.2,22.8,592.7,15.0,103.9,6.1,465.0,14.4,27.2,3.6,14.2,3.0,0.93,2.97,0.46,2.49,0.49,1.44,0.22,1.39,0.24,3.0,0.3,2.9,1.0
0,Au-rich PCDs,Kounrad Cu-Au,67.48,0.41,15.81,3.59,0.08,1.39,2.02,4.27,2.01,0.15,60.2,357.0,8.93,74.6,4.98,502.0,17.6,36.2,4.37,16.9,2.9,0.75,2.04,0.33,1.67,0.29,0.87,0.14,1.02,0.14,2.45,0.45,6.42,2.16
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.1,0.3,16.7,3.1,0.1,1.0,4.1,4.7,1.4,0.1,21.8,797.5,6.7,67.0,1.2,967.0,9.2,19.7,2.2,11.7,1.9,0.5,1.4,0.2,0.9,0.2,0.6,0.1,0.5,0.1,2.4,0.2,0.8,0.6
1,Cu-rich PCDs,Erdenet Cu-Mo,65.67,0.38,15.24,3.6,0.03,0.72,1.46,4.31,3.13,0.12,52.0,523.0,4.0,108.0,2.0,1090.0,17.6,32.5,3.26,13.2,2.1,0.85,1.4,0.14,0.9,0.14,0.4,0.05,0.4,0.09,3.0,0.18,2.8,0.79
0,Au-rich PCDs,Bozshakol Cu-Au,72.41,0.31,14.55,1.65,0.02,0.97,0.66,4.09,3.42,0.14,48.5,226.0,17.6,81.8,5.46,752.0,21.8,43.9,5.24,19.9,4.04,1.34,3.22,0.53,3.04,0.54,1.54,0.23,1.55,0.24,2.74,0.36,3.19,0.75
0,Au-rich PCDs,Pulang Cu-Au,66.82,0.5,14.59,3.83,0.02,2.08,2.85,2.96,4.25,0.32,106.0,853.0,10.8,181.0,9.68,1107.0,16.3,31.5,3.62,14.3,2.82,0.83,2.24,0.32,1.83,0.32,0.99,0.14,0.9,0.15,4.82,0.74,14.1,2.86
0,Au-rich PCDs,Xiongcun I Cu-Au,65.56,0.38,15.64,7.11,0.22,1.36,0.89,0.32,3.85,0.22,98.12,55.48,13.15,99.37,3.96,279.2,15.21,30.3,3.11,15.64,2.93,0.98,2.91,0.41,2.18,0.44,1.37,0.25,1.33,0.21,2.47,0.28,4.36,0.39
1,Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,63.23,0.23,17.67,2.57,0.09,0.31,2.1,6.0,4.36,0.07,93.0,800.0,14.72,71.95,5.02,1047.0,13.41,29.08,3.23,12.61,2.65,0.85,1.65,0.31,1.99,0.47,1.43,0.26,1.68,0.25,2.12,0.26,2.48,2.46
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.6,0.3,16.4,2.7,0.1,0.8,3.4,4.7,1.9,0.1,30.0,597.4,5.5,63.0,1.6,1062.0,8.7,18.9,2.0,7.8,1.3,0.4,1.1,0.2,1.0,0.2,0.5,0.1,0.6,0.1,1.6,0.1,1.3,0.7
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.05,0.33,16.97,3.32,0.04,1.12,4.23,4.74,1.51,0.14,17.9,710.4,6.2,70.3,1.5,722.0,9.4,18.7,2.28,8.9,1.38,0.51,1.42,0.19,1.02,0.22,0.65,0.09,0.68,0.11,1.9,0.1,1.8,0.8
1,Cu-rich PCDs,El Abra Cu-Mo,67.32,0.39,16.99,2.68,0.03,1.02,3.7,4.93,2.78,0.16,89.0,769.0,6.4,109.0,6.0,835.0,19.2,35.8,3.98,15.1,2.66,0.753,1.9,0.24,1.19,0.22,0.63,0.093,0.64,0.1,2.8,0.57,6.53,2.36
1,Cu-rich PCDs,Jebel Ohier Cu-Au,51.2,1.43,16.6,9.49,0.15,4.98,7.58,3.24,1.48,0.43,29.9,591.0,25.5,195.0,5.1,461.0,16.7,39.1,5.07,23.6,5.78,1.56,5.52,0.86,5.26,1.03,3.05,0.41,3.12,0.42,5.0,0.3,2.17,0.93
1,Cu-rich PCDs,Baogutu Cu-Mo,58.95,0.82,17.88,3.82,0.04,4.35,7.56,4.41,0.72,0.18,43.33,746.0,15.11,93.88,2.48,222.0,10.77,29.7,4.15,18.63,3.79,1.21,3.36,0.53,2.91,0.57,1.71,0.22,1.45,0.23,2.61,0.14,3.29,1.13
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.6,0.2,16.4,2.0,0.1,0.7,3.5,4.8,1.9,0.1,26.1,621.1,5.2,71.6,1.6,1106.0,10.0,20.8,2.3,6.8,1.5,0.4,1.1,0.2,0.8,0.2,0.4,0.1,0.6,0.1,2.3,0.1,1.2,0.7
1,Cu-rich PCDs,Baogutu Cu-Mo,65.89,0.54,15.35,4.06,0.04,2.36,3.89,4.08,2.91,0.12,61.49,459.2,15.03,157.2,3.81,716.5,31.14,57.39,6.49,23.13,3.67,0.88,3.2,0.47,2.68,0.54,1.55,0.24,1.6,0.25,4.73,0.31,5.74,1.32
1,Cu-rich PCDs,Jebel Ohier Cu-Au,72.9,0.32,16.4,1.52,0.02,0.58,0.13,0.15,4.86,0.01,91.9,56.8,7.4,150.0,2.8,737.0,5.5,10.3,1.18,4.1,0.87,0.21,0.75,0.15,1.2,0.27,0.84,0.16,1.13,0.18,3.8,0.4,1.69,0.68
1,Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,63.12,0.23,18.38,2.27,0.07,0.34,2.73,6.04,4.38,0.08,82.0,841.0,15.94,124.3,5.72,948.0,13.67,29.02,3.24,12.64,2.7,0.85,1.68,0.33,2.11,0.52,1.6,0.3,1.98,0.3,3.49,0.41,3.02,1.11
1,Cu-rich PCDs,Baogutu Cu-Mo,53.76,0.84,18.7,7.71,0.14,4.56,7.53,3.77,0.65,0.16,12.07,658.0,9.6,38.37,1.38,252.0,5.09,11.8,1.66,8.07,1.76,0.78,1.83,0.29,1.74,0.39,1.01,0.15,1.0,0.15,1.18,0.14,0.94,0.26
0,Au-rich PCDs,Almalyk Cu-Au,60.49,0.58,15.75,5.65,0.1,2.72,4.43,3.75,3.84,0.25,95.0,468.0,18.8,178.0,10.0,1326.0,36.59,67.78,7.86,29.44,5.15,1.18,4.68,0.65,3.59,0.71,1.97,0.3,1.89,0.29,5.01,0.78,19.3,6.63
1,Cu-rich PCDs,Xiaokelehe Cu-Mo,65.68,0.59,16.1,3.3,0.05,1.16,2.97,4.95,3.26,0.22,66.5,1085.0,6.4,206.0,6.3,946.0,30.0,60.6,6.85,25.3,4.21,0.91,2.39,0.3,1.44,0.24,0.58,0.08,0.47,0.07,4.9,0.29,4.26,1.23
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,69.0,0.26,16.35,2.54,0.06,0.77,3.44,4.73,1.92,0.1,32.3,623.8,4.9,51.8,1.5,828.0,7.8,16.1,1.81,7.1,1.24,0.45,1.11,0.15,0.88,0.19,0.52,0.06,0.49,0.09,1.8,0.2,1.5,1.0
0,Au-rich PCDs,Kounrad Cu-Au,65.24,0.5,16.56,4.39,0.08,1.82,1.23,4.71,2.42,0.19,29.4,487.0,12.1,100.5,4.81,595.0,15.9,31.7,4.4,17.6,3.38,0.85,2.57,0.38,1.99,0.39,1.16,0.16,1.17,0.17,3.15,0.91,7.02,2.17
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,65.32,0.3,15.38,3.79,0.05,1.65,3.65,4.01,2.68,0.13,41.9,602.0,8.5,98.0,4.9,447.0,14.1,27.8,3.13,12.2,2.34,0.64,1.87,0.27,1.48,0.31,0.92,0.14,0.99,0.17,2.9,0.4,3.59,1.84
0,Au-rich PCDs,Atlas Cu-Au,58.33,0.49,17.08,6.15,0.09,3.15,4.86,3.45,1.88,0.18,34.3,579.0,13.3,98.0,3.5,323.0,18.7,37.1,4.18,16.0,3.18,1.01,2.63,0.39,2.37,0.49,1.44,0.22,1.51,0.24,2.8,0.2,3.09,0.62
0,Au-rich PCDs,Almalyk Cu-Au,55.68,0.58,14.88,9.08,0.05,2.96,1.29,1.47,7.68,0.4,175.24,276.47,21.13,111.01,11.01,930.62,14.47,34.41,4.73,20.38,4.99,1.17,4.21,0.61,3.59,0.67,1.88,0.27,1.77,0.27,3.87,0.47,7.21,1.26
0,Au-rich PCDs,Pulang Cu-Au,64.0,0.7,15.5,3.2,0.02,3.0,2.3,3.8,4.3,0.3,166.0,852.0,14.0,168.0,9.5,1145.0,23.3,47.5,5.5,22.1,4.3,1.18,3.7,0.51,2.62,0.48,1.39,0.21,1.32,0.2,4.4,1.11,10.3,2.23
1,Cu-rich PCDs,Jebel Ohier Cu-Au,69.5,0.45,17.95,1.78,0.01,0.23,0.24,0.95,4.02,0.2,70.3,544.0,4.4,101.0,1.5,760.0,3.2,7.1,1.11,5.5,1.56,0.51,1.4,0.17,0.89,0.17,0.54,0.09,0.55,0.07,3.0,0.2,0.85,0.39
1,Cu-rich PCDs,El Abra Cu-Mo,68.02,0.36,16.81,2.72,0.04,0.8,3.73,4.75,2.62,0.15,51.0,777.0,6.0,115.0,6.2,864.0,20.2,38.7,4.18,15.4,2.77,0.704,1.7,0.23,1.16,0.21,0.62,0.097,0.64,0.1,3.0,0.62,5.77,1.82
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.7,0.2,16.3,2.4,0.1,0.7,3.4,4.8,2.0,0.1,34.9,653.0,6.1,65.6,1.6,830.0,9.7,18.9,2.2,7.9,1.8,0.4,1.4,0.2,1.3,0.2,0.7,0.1,0.7,0.1,2.3,0.2,1.6,1.0
1,Cu-rich PCDs,Shujiadian Cu,58.8,0.5,16.7,5.6,1e-10,1.8,4.4,4.1,2.9,0.2,83.1,903.0,10.4,23.0,9.4,850.0,22.9,48.0,5.9,22.3,4.3,1.3,3.3,0.4,2.2,0.4,0.9,0.1,0.8,0.1,0.9,0.6,2.9,1.1
1,Cu-rich PCDs,Quellaveco Cu-Mo,65.17,0.43,16.68,2.16,0.03,1.23,2.51,3.24,4.77,0.18,111.7,794.9,7.1,110.6,4.8,1063.0,17.2,34.4,4.01,16.1,2.62,0.71,1.98,0.25,1.26,0.23,0.67,0.1,0.68,0.11,3.3,0.3,3.0,1.8
1,Cu-rich PCDs,Shujiadian Cu,54.2,0.9,17.5,6.2,0.1,2.6,7.1,4.5,3.2,0.4,61.5,952.0,18.2,42.3,16.4,716.0,54.9,102.0,11.2,41.2,6.9,1.8,5.8,0.7,3.5,0.7,2.1,0.3,1.6,0.3,5.3,0.9,9.8,2.7
1,Cu-rich PCDs,Tuwu-Yandong Cu,66.74,0.31,15.53,4.71,0.04,1.38,2.31,3.64,1.61,0.15,32.5,608.0,8.08,43.6,2.33,339.0,13.4,26.5,3.35,13.6,2.47,0.67,1.98,0.31,1.63,0.29,0.9,0.14,0.88,0.13,1.51,0.19,1.45,0.81
1,Cu-rich PCDs,Aktogai Cu,69.22,0.47,15.48,0.94,0.02,1.12,0.96,3.4,5.53,0.22,83.9,451.0,9.74,52.0,3.46,1168.0,25.1,44.5,5.55,21.4,3.52,1.05,2.6,0.39,1.77,0.33,0.97,0.16,1.06,0.15,2.0,0.22,5.78,3.75
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,63.39,0.34,15.46,4.5,0.09,1.89,5.39,5.23,1.67,0.14,28.2,280.0,9.3,88.0,4.5,255.0,13.6,27.1,3.38,12.8,2.53,0.7,2.13,0.3,1.7,0.35,1.0,0.16,1.07,0.18,2.3,0.31,2.63,1.27
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.3,0.3,16.2,2.8,0.1,0.8,3.3,4.8,2.0,0.1,35.7,577.5,5.5,71.2,2.1,907.0,10.0,20.0,2.2,7.9,1.4,0.5,1.5,0.2,1.0,0.2,0.6,0.1,0.7,0.1,2.4,0.2,1.8,0.8
1,Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.9,0.3,16.8,3.1,0.1,1.0,4.1,4.7,1.8,0.1,34.1,649.0,4.4,65.1,1.1,505.0,8.4,13.8,1.6,7.4,1.2,0.5,1.0,0.2,0.6,0.2,0.5,0.1,0.5,0.1,2.2,0.1,1.6,1.2
0,Au-rich PCDs,Atlas Cu-Au,59.15,0.42,16.78,7.56,0.09,3.09,5.22,4.17,0.73,0.18,9.5,606.0,10.8,97.0,2.7,279.0,13.1,26.0,3.16,12.4,2.46,0.81,2.21,0.31,1.81,0.38,1.12,0.18,1.27,0.2,2.5,0.2,2.66,0.36
0,Au-rich PCDs,Atlas Cu-Au,59.71,0.46,17.16,6.39,0.08,2.91,5.52,4.07,0.89,0.18,12.5,729.0,11.8,96.0,3.4,265.0,13.9,27.8,3.29,12.8,2.53,0.89,2.3,0.34,2.02,0.43,1.28,0.19,1.38,0.24,2.8,0.2,3.62,0.51
1,Cu-rich PCDs,Yuhai Cu-Mo,63.25,0.41,17.23,5.84,0.1,1.93,5.98,3.85,0.66,0.21,10.1,786.0,14.6,79.4,2.18,842.0,18.0,34.2,4.4,18.6,3.52,1.24,2.77,0.48,2.55,0.49,1.34,0.24,1.38,0.26,2.57,0.14,1.23,0.66
1,Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,61.39,0.23,16.17,3.5,0.06,0.27,2.91,5.3,4.95,0.4,111.0,472.0,12.32,101.0,6.19,909.0,14.41,29.52,3.25,12.45,2.38,0.69,1.39,0.26,1.64,0.4,1.27,0.24,1.63,0.25,2.92,0.44,3.95,1.97
0,Au-rich PCDs,Cobre Panama Cu-Mo-Au,66.11,0.41,16.74,2.38,0.25,2.64,4.19,3.6,0.83,0.2,27.6,616.5,5.1,99.1,5.8,592.0,4.7,7.1,0.67,2.2,0.48,0.4,0.64,0.11,0.68,0.16,0.57,0.09,0.79,0.12,2.7,0.3,3.0,1.8
0,Au-rich PCDs,Almalyk Cu-Au,61.12,0.58,15.72,5.68,0.12,2.65,4.01,3.37,4.18,0.25,122.0,580.0,20.0,179.0,10.6,1594.0,37.75,69.39,8.07,30.53,5.38,1.2,4.63,0.65,3.65,0.74,2.04,0.32,2.09,0.32,5.14,0.85,19.5,6.73
0,Au-rich PCDs,Kounrad Cu-Au,65.9,0.54,16.18,4.96,0.19,1.91,1.63,4.16,1.94,0.2,47.67,584.2,11.54,138.7,5.79,659.7,19.98,40.2,5.04,18.58,3.47,0.91,2.73,0.38,2.13,0.41,1.09,0.16,1.07,0.16,4.05,0.5,6.88,2.36
0,Au-rich PCDs,Cobre Panama Cu-Mo-Au,57.11,0.71,16.64,7.69,0.18,3.02,5.98,3.39,2.26,0.24,45.8,577.0,17.6,89.9,5.9,802.0,14.0,26.2,3.26,13.4,2.87,0.97,3.14,0.49,3.12,0.56,1.87,0.28,1.77,0.29,2.6,0.5,2.2,0.9
1,Cu-rich PCDs,Quellaveco Cu-Mo,67.96,0.34,16.22,2.62,0.03,1.24,1.73,3.27,3.02,0.16,69.9,469.8,7.2,94.4,4.2,694.0,17.4,37.0,4.33,15.0,2.67,0.74,1.65,0.28,1.22,0.22,0.6,0.1,0.64,0.11,2.7,0.3,3.0,1.4
1,Cu-rich PCDs,Xiaokelehe Cu-Mo,65.47,0.62,15.96,3.95,0.09,1.57,3.27,4.76,3.09,0.22,58.8,1000.0,7.0,160.0,6.0,841.0,30.4,58.6,6.55,24.0,4.23,1.03,2.59,0.3,1.5,0.27,0.66,0.09,0.55,0.08,4.1,0.36,5.22,1.6
1,Cu-rich PCDs,Tuwu-Yandong Cu,71.5,0.19,14.65,0.86,0.05,0.5,3.0,4.4,1.44,0.08,27.3,264.0,6.54,28.4,2.63,315.0,12.0,23.3,2.93,10.4,1.58,0.51,1.46,0.2,1.1,0.22,0.64,0.11,0.73,0.12,1.15,0.33,1.24,1.41
